anydesk,X
apache2,X
atom,X
audacity,
balena-etcher-electron,X
bing9,X
bluemon,
bluez,
codeblocks,
cpulimit,
cron,
cups,X
curl,
ddgr,X
debianutils,
desktop-base,
dnsmasq,
dpkg,
evolution,
fdisk,
filezilla,
firefox-esr,
firmware-atheros,X
ftp,
g++,
gcc,
geany,
gedit,X
gimp,
git,
github-desktop,X
glances,X
gnome,
gparted,
grep,
grub,X
htop,
kicad,X
less,
libreoffice,
libreoffice-base,
linux-base,X
locate,
login,
logrotate,X
macchanger,X
make,
man-db,X
mariadb,X
nemo,
nmap,
npm,
openssh-server,X
openssl,
opera-stable,X
perl,
php,
php7.4,
pipewire,
python3,
remmina,X
samba,X
screen,
snap,
snapd,
sudo,
testdisk,
tor,
typespeed,X
ufw,X
vim,
vlc,
wavemon,
wget,
wine,X
wireshark,
xorg,X
xterm,
zip,
